Date,Pair_Score,ML_Convergence_Prob,Reg_Prediction,Sentiment_Score,Target
2022-07-13,-1,0.6611441558190324,1.9067609654625508e-05,3.5,0
2022-07-14,0,0.7041389056391203,1.9067609654625508e-05,3.5,0
2022-07-15,0,0.6832939606680195,1.9067609654625508e-05,3.5,0
2022-07-18,0,0.6090997282151365,1.9067609654625508e-05,3.5,0
2022-07-19,0,0.5427574117765568,1.9067609654625508e-05,3.5,0
2022-07-20,0,0.4718943769137979,1.9067609654625508e-05,3.5,0
2022-07-21,0,0.5049715435188868,1.9067609654625508e-05,3.5,0
2022-07-22,0,0.47621401815788805,1.9067609654625508e-05,3.5,0
2022-07-25,0,0.5018192556659327,1.9067609654625508e-05,3.5,0
2022-07-26,0,0.6222012814951134,1.9067609654625508e-05,3.5,0
2022-07-27,0,0.6005675303639841,8.196593650504314e-05,3.5,0
2022-07-28,0,0.5338012887685708,1.9067609654625508e-05,3.5,0
2022-07-29,0,0.40322807406519023,1.9067609654625508e-05,3.5,0
2022-08-01,0,0.5714635547364512,1.9067609654625508e-05,3.5,0
2022-08-02,0,0.35787418543576005,1.9067609654625508e-05,3.5,0
2022-08-03,0,0.560203160464738,1.9067609654625508e-05,3.5,0
2022-08-04,0,0.49282725905312696,1.9067609654625508e-05,3.5,0
2022-08-05,0,0.6569000861100579,1.9067609654625508e-05,3.5,0
2022-08-08,0,0.504796956144839,1.9067609654625508e-05,3.5,0
2022-08-09,0,0.5731702782717987,1.9067609654625508e-05,3.5,0
2022-08-10,0,0.5057668852641423,1.9067609654625508e-05,3.5,0
2022-08-11,0,0.5227346294899107,1.9067609654625508e-05,3.5,0
2022-08-12,0,0.44814300400769136,1.9067609654625508e-05,3.5,0
2022-08-15,0,0.34564368433722525,1.9067609654625508e-05,3.5,0
2022-08-16,0,0.5622851296904738,1.9067609654625508e-05,3.5,0
2022-08-17,1,0.5464278362715921,5.117276129811229e-05,3.5,0
2022-08-18,1,0.5058667906642806,1.9067609654625508e-05,3.5,0
2022-08-19,1,0.5026665586329871,1.9067609654625508e-05,3.5,0
