Date,Pair_Trading,Buy_Hold_SHW,Buy_Hold_HD
2022-02-17,1.003638326221486,0.787980550209478,0.8514582171935027
2022-02-18,1.009917277300714,0.7904873262240792,0.8488400490228616
2022-02-22,1.0748503742324769,0.7713493585285301,0.7737127797316719
2022-02-23,1.0748503742324769,0.7649209497009943,0.7548208115256627
2022-02-24,1.0748503742324769,0.7635647150312672,0.7665425124599219
2022-02-25,1.0748503742324769,0.7899586953171612,0.7748873620400218
2022-02-28,1.0748503742324769,0.7777221466804446,0.7728806487627085
2022-03-01,1.0748503742324769,0.7552591318503592,0.7836971036618587
2022-03-02,1.0748503742324769,0.7691212017667678,0.8011208647773866
2022-03-03,1.0748503742324769,0.7626779732651203,0.7937546258380159
2022-03-04,1.0748503742324769,0.7640079921189348,0.7935099939727899
2022-03-07,1.0748503742324769,0.7180770384813473,0.7898638063453896
2022-03-08,1.0812160414324787,0.7089145404733272,0.7751074558568828
2022-03-09,1.0814959191311948,0.7144119830008958,0.7809175666307829
2022-03-10,1.0603594271531858,0.7021163432585443,0.782739371157196
2022-03-11,1.0465183627126922,0.6904119897541651,0.7799082626346411
2022-03-14,1.0594317355287173,0.7023528952718955,0.7837734627411779
2022-03-15,1.0469994282615676,0.7165696525152223,0.8088357935430164
2022-03-16,1.04782467247177,0.7223036001584392,0.8146705255451065
2022-03-17,1.0440307353825642,0.7315843741731348,0.8280878472113049
2022-03-18,1.047349928046512,0.7434365492370072,0.8388707806409937
2022-03-21,1.0585222435408634,0.7265597542860515,0.8108791059433149
2022-03-22,1.0760967520362745,0.7394168533273404,0.8117653869783314
2022-03-23,1.106596135988675,0.7319390146023501,0.7805483313877573
2022-03-24,1.106596135988675,0.7387074317758012,0.7774216849470968
2022-03-25,1.106596135988675,0.7247567252009403,0.7648659399079
2022-03-28,1.106596135988675,0.7406286430721822,0.7737288334378903
2022-03-29,1.106596135988675,0.7665498007175912,0.7821733324483
2022-03-30,1.106596135988675,0.7478108855758893,0.7594003599690106
2022-03-31,1.106596135988675,0.7377912851499455,0.7369233413069514
2022-04-01,1.106596135988675,0.7543132989785775,0.7432259598244773
2022-04-04,1.106596135988675,0.7656334665009239,0.7523102780485281
2022-04-05,1.106596135988675,0.7624710137022894,0.75053763279867
2022-04-06,1.106596135988675,0.7762444938579486,0.734978347459763
2022-04-07,1.1171453515284493,0.7797910857409129,0.745342969549696
2022-04-08,1.1482899209142676,0.7795842668711906,0.7659244863604219
2022-04-11,1.1436675304846118,0.7717221483687619,0.7551169317025429
2022-04-12,1.1602415483673367,0.7594561948723365,0.7540580525307212
2022-04-13,1.1602415483673367,0.7637417538596575,0.7642259543346088
2022-04-14,1.1602415483673367,0.7474856969040856,0.7497005942200335
2022-04-18,1.1602415483673367,0.7275943176116914,0.7390898430280252
2022-04-19,1.1602415483673367,0.7455645325054076,0.7577755252681176
2022-04-20,1.1602415483673367,0.748047249998429,0.7758460927025841
2022-04-21,1.1602415483673367,0.7436730074549527,0.7640779774259937
2022-04-22,1.1602415483673367,0.7238997634761253,0.7388437139259496
2022-04-25,1.1602415483673367,0.7330621676887396,0.7507346858040154
2022-04-26,1.1602415483673367,0.8020766865609849,0.7384742291434491
2022-04-27,1.132338355837199,0.8257515849313178,0.7425118610271411
2022-04-28,1.162661297150398,0.8314559401240144,0.7675249493725995
2022-04-29,1.1465403972530666,0.8126876670203066,0.7395576463636359
2022-05-02,1.1973861269263815,0.7944214807236841,0.755732379227469
