Date,Price_A,Price_B,Spread,Zscore,Position_A,Position_B,Return_A,Return_B,Strategy_Return,Cumulative_Return
2022-07-13,236.84693908691406,261.03125,-66.36344134805603,1.1894906749153782,-1,1,-0.003407048162749393,0.007225172998716944,0.010632221161466338,1.2574558318292333
2022-07-14,235.61317443847656,263.121826171875,-70.02559108985884,0.9601580725406186,-1,1,-0.005209122200159677,0.008008911468933233,0.01321803366909291,1.2740769253517494
2022-07-15,236.70233154296875,265.7850341796875,-72.02998049838487,0.8346383992234391,-1,1,0.004622649421399672,0.010121577698662065,0.005498928277262394,1.2810829829839736
2022-07-18,234.4661407470703,266.36676025390625,-74.94189645850332,0.6522872360779866,0,0,-0.009447269831782346,0.0021887089166408025,0.011635978748423148,1.295989637348942
2022-07-19,238.5433807373047,272.5293884277344,-78.0230822623671,0.45933598923672797,0,0,0.017389461767243874,0.02313587539208628,0.0,1.295989637348942
2022-07-20,240.51939392089844,274.7744445800781,-78.65489603454984,0.41977029509349734,0,0,0.008283663866447188,0.008237849742722458,0.0,1.295989637348942
2022-07-21,247.3244171142578,277.2286376953125,-74.7006304732023,0.6673958908776554,0,0,0.02829303318300136,0.008931664365603442,0.0,1.295989637348942
2022-07-22,249.6570281982422,278.6739196777344,-74.04683945281545,0.7083378530271209,0,0,0.009431382114232445,0.00521332137414432,0.0,1.295989637348942
2022-07-25,249.6570281982422,278.27386474609375,-73.58214103828601,0.7374383825622671,0,0,0.0,-0.0014355664573967308,0.0,1.295989637348942
2022-07-26,245.10748291015625,271.02960205078125,-69.71684845613015,0.9794922769421515,0,0,-0.01822318130164291,-0.026032853289770452,-0.0,1.295989637348942
2022-07-27,223.59347534179688,271.69317626953125,-92.00165488981321,-0.4160357634646432,0,0,-0.08777376893158872,0.0024483459139850172,0.0,1.295989637348942
2022-07-28,234.26368713378906,272.34759521484375,-82.09160732096308,0.2045551896249085,0,0,0.047721481030164936,0.0024086690519724563,0.0,1.295989637348942
2022-07-29,233.20347595214844,273.538330078125,-84.53496006474501,0.05154657917546961,0,0,-0.004525717129326701,0.004372114475040378,0.0,1.295989637348942
2022-08-01,234.31190490722656,277.9739990234375,-88.57894434904637,-0.20169741827639595,0,0,0.004753055032959974,0.016215895388575374,0.0,1.295989637348942
2022-08-02,234.81314086914062,273.3292541503906,-82.6824353691319,0.16755611984469457,0,0,0.002139182651058835,-0.016709278167614694,0.0,1.295989637348942
2022-08-03,230.6780548095703,278.473876953125,-92.79344590981901,-0.46561961665397406,0,0,-0.017610113489665236,0.018822071639297278,0.0,1.295989637348942
2022-08-04,234.31190490722656,279.2010192871094,-90.00423454303416,-0.29095250951292645,0,0,0.015752907664563276,0.0026111689252157344,0.0,1.295989637348942
2022-08-05,228.5189208984375,281.49163818359375,-98.45797057685684,-0.8203457405694586,0,0,-0.024723387448378875,0.00820419245722337,0.0,1.295989637348942
2022-08-08,231.8057861328125,283.5639953613281,-97.57832749790566,-0.7652603806907796,0,0,0.014383339556534258,0.007362055907262022,0.0,1.295989637348942
2022-08-09,223.9694061279297,277.4195556640625,-98.27740919782445,-0.8090385538454425,0,0,-0.033805799827589245,-0.021668617306072835,-0.0,1.295989637348942
2022-08-10,234.93844604492188,283.20947265625,-94.03385879171674,-0.5432972470844388,0,0,0.048975617280186734,0.020870615910000057,0.0,1.295989637348942
2022-08-11,235.17942810058594,282.4005432128906,-92.8532352016922,-0.4693637655463326,0,0,0.0010257242257318833,-0.002856293738243809,0.0,1.295989637348942
2022-08-12,242.5242919921875,286.21807861328125,-89.94276895817455,-0.2871033871323106,0,0,0.03123089443205962,0.013518158842607875,0.0,1.295989637348942
2022-08-15,248.04736328125,285.963623046875,-84.1241255140776,0.07727402433549162,0,0,0.022773270436927673,-0.000889026883413746,0.0,1.295989637348942
2022-08-16,247.0159912109375,297.5708923339844,-98.6383450838967,-0.8316412249209946,0,0,-0.004157964255975921,0.040590020378944214,0.0,1.295989637348942
2022-08-17,242.38931274414062,296.098388671875,-101.55458315100935,-1.0142630487752133,1,-1,-0.018730279137458616,-0.004948412966603866,-0.0,1.295989637348942
2022-08-18,240.5535430908203,295.59844970703125,-102.80963044359873,-1.092857121111324,1,-1,-0.007573641067492476,-0.00168842176779882,-0.005885219299693656,1.288362454123013
